,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,region,Datetime,Easting,Northing
788,,,34,52.73723,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.50365,Dosso,2020-02-28,1001447.7066348705,-4062026.6601788206
789,100.0,100.0,34,53.58881,0.0,13.195701407046212,3.542856740001413,0.1938947,100.586706676768,2446823,0.2817631318113971,0.0,0.0,37.591240000000006,Dosso,2020-02-29,1001447.7066348705,-4062026.6601788206
790,,,34,53.807,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,37.7443,Dosso,2020-03-01,1001447.7066348705,-4062026.6601788206
791,,,34,53.08162999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,36.97959000000001,Dosso,2020-03-02,1001447.7066348705,-4062026.6601788206
792,,,34,53.28438000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,37.28914,Dosso,2020-03-03,1001447.7066348705,-4062026.6601788206
793,,,34,52.37436,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,37.5742,Dosso,2020-03-04,1001447.7066348705,-4062026.6601788206
794,,,34,51.72753999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,37.84798,Dosso,2020-03-05,1001447.7066348705,-4062026.6601788206
795,,,34,52.38468,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.15481,Dosso,2020-03-06,1001447.7066348705,-4062026.6601788206
796,,,34,52.85349999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.18396,Dosso,2020-03-07,1001447.7066348705,-4062026.6601788206
797,,,34,52.47836,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.23761,Dosso,2020-03-08,1001447.7066348705,-4062026.6601788206
798,,,34,52.79553000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.33866,Dosso,2020-03-09,1001447.7066348705,-4062026.6601788206
799,100.069937056649,100.069937056649,34,52.51104999999999,0.0,13.195701407046212,3.542856740001413,0.1876936,100.971038755317,2446823,,0.016,0.0,38.56971,Dosso,2020-03-10,1001447.7066348705,-4062026.6601788206
800,,,34,52.82943,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.80356,Dosso,2020-03-11,1001447.7066348705,-4062026.6601788206
801,,,34,53.39826,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,39.05457,Dosso,2020-03-12,1001447.7066348705,-4062026.6601788206
802,,,34,53.80345,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.65132,Dosso,2020-03-13,1001447.7066348705,-4062026.6601788206
803,,,34,53.80345,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.65132,Dosso,2020-03-14,1001447.7066348705,-4062026.6601788206
804,,,34,53.80345,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.65132,Dosso,2020-03-15,1001447.7066348705,-4062026.6601788206
805,,,34,52.58409,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,37.59229000000001,Dosso,2020-03-16,1001447.7066348705,-4062026.6601788206
806,,,34,52.33161,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.12275999999999,Dosso,2020-03-17,1001447.7066348705,-4062026.6601788206
807,,,34,51.99687000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,38.03837,Dosso,2020-03-18,1001447.7066348705,-4062026.6601788206
808,,,34,50.81244,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,37.37212,Dosso,2020-03-19,1001447.7066348705,-4062026.6601788206
809,100.239520958084,100.239520958084,34,49.6908,0.0,13.195701407046212,3.542856740001413,0.1857137,101.340436353349,2446823,,0.028,0.0,37.36286,Dosso,2020-03-20,1001447.7066348705,-4062026.6601788206
810,,,34,50.15779000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,37.04142,Dosso,2020-03-21,1001447.7066348705,-4062026.6601788206
811,,,34,50.84812999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,36.35108,Dosso,2020-03-22,1001447.7066348705,-4062026.6601788206
812,,,34,50.84812999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,36.05523,Dosso,2020-03-23,1001447.7066348705,-4062026.6601788206
813,,,34,50.64833000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.91356,Dosso,2020-03-24,1001447.7066348705,-4062026.6601788206
814,,,34,50.64833000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.91356,Dosso,2020-03-25,1001447.7066348705,-4062026.6601788206
815,,,34,50.61435,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.75109000000001,Dosso,2020-03-26,1001447.7066348705,-4062026.6601788206
816,,,34,50.39809,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,36.06688,Dosso,2020-03-27,1001447.7066348705,-4062026.6601788206
817,,,34,50.54901,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.87542,Dosso,2020-03-28,1001447.7066348705,-4062026.6601788206
818,,,34,50.54465999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,36.38344,Dosso,2020-03-29,1001447.7066348705,-4062026.6601788206
819,,,34,52.69602999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.90756,Dosso,2020-03-30,1001447.7066348705,-4062026.6601788206
820,101.461087367061,101.461087367061,34,53.21352,0.0,13.195701407046212,3.542856740001413,0.1845106,101.82875305581,2446823,0.2928210430647566,0.1639999999999999,0.0,35.12405,Dosso,2020-03-31,1001447.7066348705,-4062026.6601788206
821,,,34,54.27136,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.29647999999999,Dosso,2020-04-01,1001447.7066348705,-4062026.6601788206
822,,,34,53.66445000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.85706000000001,Dosso,2020-04-02,1001447.7066348705,-4062026.6601788206
823,,,34,54.80966,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,33.851820000000004,Dosso,2020-04-03,1001447.7066348705,-4062026.6601788206
824,,,34,54.53081000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,34.71607,Dosso,2020-04-04,1001447.7066348705,-4062026.6601788206
825,,,34,54.39936000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,34.87344,Dosso,2020-04-05,1001447.7066348705,-4062026.6601788206
826,,,34,54.28917,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,34.71607,Dosso,2020-04-06,1001447.7066348705,-4062026.6601788206
