,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,Waterways,rCSI,region,Datetime,Easting,Northing
1297,,,8.956520087755024,15,21.242653232577645,0.0,3.797182888368887,14.22083036504301,,,1108419,,20.0,52.535199090334274,26.1460957178841,East,2021-07-21,2225526.135485637,-5090283.821658097
1298,,,8.956520087755024,15,20.862824401752587,0.0,3.797182888368887,14.22083036504301,,,1108419,,19.0,52.535199090334274,26.23862487360968,East,2021-07-22,2225526.135485637,-5090283.821658097
1299,,,8.956520087755024,15,20.53408525460273,0.0,3.797182888368887,14.22083036504301,,,1108419,,18.0,52.535199090334274,25.82517830485981,East,2021-07-23,2225526.135485637,-5090283.821658097
1300,,,8.956520087755024,15,20.740492544814856,0.0,3.797182888368887,14.22083036504301,,,1108419,,17.0,52.535199090334274,25.07957781873008,East,2021-07-24,2225526.135485637,-5090283.821658097
1301,,,8.956520087755024,15,20.422535211267583,0.0,3.797182888368887,14.22083036504301,,,1108419,,16.0,52.535199090334274,24.061032863849736,East,2021-07-25,2225526.135485637,-5090283.821658097
1302,,,8.956520087755024,15,20.691399662731843,0.0,3.797182888368887,14.22083036504301,,,1108419,,15.0,52.535199090334274,24.01349072512645,East,2021-07-26,2225526.135485637,-5090283.821658097
1303,,,8.956520087755024,15,20.14210178453401,0.0,3.797182888368887,14.22083036504301,,,1108419,,14.0,52.535199090334274,23.47984137475212,East,2021-07-27,2225526.135485637,-5090283.821658097
1304,,,8.956520087755024,15,19.763294422827467,0.0,3.797182888368887,14.22083036504301,,,1108419,,13.0,52.535199090334274,23.232814526588808,East,2021-07-28,2225526.135485637,-5090283.821658097
1305,,,8.956520087755024,15,19.88645324081373,0.0,3.797182888368887,14.22083036504301,,,1108419,,12.0,52.535199090334274,25.059138937076145,East,2021-07-29,2225526.135485637,-5090283.821658097
1306,,,8.956520087755024,15,19.546165884194032,0.0,3.797182888368887,14.22083036504301,,,1108419,,11.0,52.535199090334274,25.05477308294207,East,2021-07-30,2225526.135485637,-5090283.821658097
1307,81.84925602488659,107.800362492321,8.956520087755024,15,12.085921976118858,0.0,3.797182888368887,14.22083036504301,0.8353164000000001,99.422611604952,1108419,27.416,0.0,52.535199090334274,23.522582262327948,East,2021-07-31,2225526.135485637,-5090283.821658097
