adm1_name,Area,Lat,Lon,Waterways,adm1_code,population,Easting,Northing,Longitude,Latitude,MPI,MPI_incidence,MPI_intensity,Muslim,Christian
Abuja,0.6072218061321347,8.897617247031896,7.195557200236763,4.914766685683623,2221,4346654,1415189.3827933453,-4531246.470093963,7.195557200236763,8.897617247031896,0.186,48.3,38.6,49.0,40.0
Gombe,1.438746636652039,10.383587852103902,11.19199513759299,11.760616653105526,65704,3545037,1856209.3974614544,-4349017.80037025,11.19199513759299,10.383587852103902,0.38,86.2,44.0,80.0,15.0
Imo,0.4140974010021023,5.573020020443396,7.062307590787432,3.8852414944513542,2222,5464002,1407833.1951462626,-4903666.720512064,7.062307590787432,5.573020020443396,0.142,40.7,35.0,0.1,95.0
Jigawa,1.9288728952615264,12.238420415697483,9.563558283105715,4.785209924933251,2223,6366194,1665573.1812478136,-4147196.141358264,9.563558283105715,12.238420415697483,0.385,84.3,45.7,98.0,0.8
Kaduna,3.645638690257431,10.392367010531627,7.705978547518679,25.13172319151363,2224,9391404,1467245.389053808,-4362243.076035335,7.705978547518679,10.392367010531627,0.298,73.9,40.3,55.7,40.0
Kano,1.6856069027493246,11.745201935123053,8.529557183153377,13.45293465767073,2225,14936166,1553310.6672077333,-4207328.29560156,8.529557183153377,11.745201935123053,0.27,66.3,40.8,97.0,1.1
Katsina,1.9919473987289604,12.37830070781455,7.628834204597841,7.446634455912035,2226,7831200,1451234.0924060186,-4140006.8746834407,7.628834204597841,12.37830070781455,0.304,72.7,41.7,94.6,0.7
Kebbi,3.035227035862906,11.743956421859846,4.51668666929484,18.153554891183404,2227,4915325,1111481.434118725,-4220958.155690166,4.51668666929484,11.743956421859846,0.385,82.2,46.8,92.0,7.0
Kogi,2.3688823019483345,7.736607886003764,6.686754336473293,12.815678745500469,2228,4510378,1361458.6963690906,-4662413.32046441,6.686754336473293,7.736607886003764,0.25,61.3,40.8,52.5,37.9
Kwara,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,2229,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
Lagos,0.3001656748185889,6.522424330455863,3.586974900291951,1.6768495165478257,2230,12631475,1018656.2313456156,-4803072.220487144,3.586974900291951,6.522424330455863,0.101,29.4,34.3,56.0,40.7
Nassarawa,2.19792715530628,8.510447350140884,8.19796255875058,13.949797541856476,65705,2536680,1528113.1750420737,-4571755.782982044,8.19796255875058,8.510447350140884,0.243,60.7,39.9,57.4,37.8
Niger,5.930956369351895,9.933226341153109,5.590434857522704,55.68486931683749,2231,6109666,1234361.4054244405,-4419856.032454488,5.590434857522704,9.933226341153109,0.278,69.1,40.2,62.4,33.6
Ogun,1.3640210966444244,6.995135100939411,3.4732617764948586,7.725363682228935,2232,5408787,1005434.541857154,-4750720.812657498,3.4732617764948586,6.995135100939411,0.289,68.1,42.4,58.5,40.6
Ondo,1.233546336522199,6.917995342607632,5.150609211703119,5.643476186407141,65706,4701603,1191942.202743034,-4756802.42312167,5.150609211703119,6.917995342607632,0.095,27.2,34.9,14.2,78.2
Osun,0.7045493572563878,7.56291851875539,4.517762270027345,3.5300065627734023,2234,4762863,1120508.9268993556,-4686071.975616594,4.517762270027345,7.56291851875539,0.15,40.7,36.8,52.7,42.2
Oyo,2.2649176790474117,8.158826810946747,3.612911625311882,8.82614346645278,2235,7926302,1019255.0010302475,-4621290.0065708,3.612911625311882,8.158826810946747,0.19,48.7,39.0,58.3,34.3
Plateau,2.1809956344399386,9.232416150773494,9.512049503898895,20.232294180508244,65707,4620441,1672718.5292774271,-4486190.821086418,9.512049503898895,9.232416150773494,0.365,84.0,43.5,28.5,58.6
Rivers,0.8301955153272945,4.845392315480488,6.9181814546659615,31.526317915872664,65708,7216862,1392834.7899524854,-4985320.860212077,6.9181814546659615,4.845392315480488,0.241,62.4,38.7,0.3,90.4
Sokoto,2.679546700489958,13.0379933679968,5.318810473495564,9.150894705648916,65709,5417315,1195499.851590128,-4074615.4846616704,5.318810473495564,13.0379933679968,0.409,90.5,45.2,98.9,0.4
Taraba,4.802473812561262,8.023131156568944,10.786479442315445,31.556436757536495,2239,3402075,1820429.676014622,-4618204.355091899,10.786479442315445,8.023131156568944,0.34,79.4,42.8,40.6,48.8
Yobe,3.726688294429786,12.29868022093661,11.43706583990847,11.177105690667394,2240,4340967,1873520.5456008175,-4130568.1985306023,11.43706583990847,12.29868022093661,0.37,83.5,44.3,94.8,3.0
Zamfara,2.782855461501718,12.10150481045647,6.246534745910911,13.079334062326918,65710,3483746,1300231.6075521265,-4176031.602688986,6.246534745910911,12.10150481045647,0.328,78.0,42.1,98.9,0.4
