adm1_code,adm1_name,Datetime,fcs,rcsi,data_type,pewi_6,pewi_6_cubic_intp,pewi_8,pewi_8_cubic_intp,rainfall_value,rainfall_value_cubic_intp,rainfall_1_month_anomaly,rainfall_1_month_anomaly_cubic_intp,rainfall_3_months_anomaly,rainfall_3_months_anomaly_cubic_intp,ndvi_value,ndvi_value_cubic_intp,ndvi_anomaly,ndvi_anomaly_cubic_intp,n_conflicts_Battles_anomaly_30days_lagged14days,n_fatalities_Battles_anomaly_30days_lagged14days,n_conflicts_Battles_rolsum_90days,n_fatalities_Battles_rolsum_90days,n_conflicts_Violence_against_civilians_anomaly_30days_lagged14days,n_fatalities_Violence_against_civilians_anomaly_30days_lagged14days,n_conflicts_Violence_against_civilians_rolsum_90days,n_fatalities_Violence_against_civilians_rolsum_90days,n_conflicts_Explosions/Remote_violence_anomaly_30days_lagged14days,n_fatalities_Explosions/Remote_violence_anomaly_30days_lagged14days,n_conflicts_Explosions/Remote_violence_rolsum_90days,n_fatalities_Explosions/Remote_violence_rolsum_90days,food_inflation,food_inflation_cubic_intp,headline_inflation,headline_inflation_cubic_intp,currency_exchange,currency_exchange_cubic_intp,Ramadan,Ramadan_past90days,day_num,day_of_week,Area,Lat,Lon,Waterways,population,Easting,Northing,Longitude,Latitude,MPI,MPI_incidence,MPI_intensity,Muslim,Christian
2229,Kwara,2023-01-11,0.2956008162828809,0.1582649458987848,SURVEY 90 days,,,,,0.5482,0.5482,0.911596,0.911596,0.818392,0.818392,0.3649,0.3649,1.015383,1.015383,0.0,0.0,1.0,1.0,-4.0,-3.0,7.0,4.0,0.0,0.0,0.0,0.0,,24.250918472527353,,21.76314851552778,451.1,451.1,0.0,0.0,15,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-01-18,0.3026804848166986,0.1637444721280036,SURVEY 90 days,,,,,,1.5589643870480432,,0.9319505577219835,,0.8342399850581079,,0.3545617585559686,,1.0187352858953287,0.0,0.0,1.0,1.0,-1.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,,24.35646290519263,,21.852011102109145,453.08,453.08,0.0,0.0,16,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-01-25,0.3156216657708497,0.1621304463630226,SURVEY 90 days,,,,,,1.5489148772255836,,0.9442603365457348,,0.899272656551354,,0.3478971238250476,,1.018455598379376,0.0,0.0,2.0,3.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,,24.396475945198016,,21.895537168160473,459.47,459.47,0.0,0.0,17,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-02-01,0.3312080189376478,0.177968797164135,SURVEY 90 days,,,,,1.1618,1.1618,0.931734,0.931734,0.940153,0.940153,0.3439,0.3439,1.01488,1.01488,0.0,0.0,2.0,3.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,,24.392775846553615,,21.90874526497279,460.02,460.02,0.0,0.0,18,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-02-08,0.3504532912577056,0.175306065808406,SURVEY 90 days,,,,,,1.9978148993767442,,0.9133922991594475,,0.8976435119623978,,0.3429321761967891,,1.0085925948883219,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,24.369303550930564,,21.908083504825996,459.92,459.92,0.0,0.0,19,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-02-15,0.34343479038821,0.1796992880190435,SURVEY 90 days,,,,,,-0.9534516934165173,,0.7685127507220119,,0.7733024077600347,,0.34447113172752564,,1.0020399557474011,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,24.35,24.35,21.91,21.91,460.06,460.06,0.0,0.0,20,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-02-22,0.3509387863818992,0.1832605343083723,SURVEY 90 days,,,,,,5.4425402688263755,,0.9095783400619382,,0.8961477895345514,,0.34980418089538506,,0.9955763596007531,2.0,3.0,2.0,3.0,1.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,,24.353442196735816,,21.927311444344994,459.97,459.97,0.0,0.0,21,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-03-01,0.3510528856813745,0.1875289333190938,SURVEY 90 days,,,,,23.0938,23.0938,1.461353,1.461353,1.30668,1.30668,0.36,0.36,0.988831,0.988831,2.0,3.0,2.0,3.0,-3.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,,24.376751389322767,,21.958308857992275,459.97,459.97,0.0,0.0,22,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-03-08,0.3564955884907272,0.1966532938792181,SURVEY 90 days,,,,,,8.849272737078893,,1.2229524534638623,,1.10917024592748,,0.37238085583278424,,0.9840917913570152,-2.0,-3.0,2.0,3.0,-3.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,,24.41168488724833,,21.99765184264342,459.99,459.99,0.0,0.0,23,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-03-15,0.3545705483738398,0.1877742360584254,SURVEY 90 days,,,,,,13.997534288000624,,1.262416445787024,,1.119491969780394,,0.3884342446732608,,0.9802136995899517,-2.0,-3.0,2.0,3.0,-3.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,24.45,24.45,22.04,22.04,460.04,460.04,0.0,0.0,24,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
